review,sentiment
"I have very fond memories of this film, as I saw it with my two younger sisters when it first shown theatrically in 1977 and I was eight years old. Apparently it was deemed a failure - and is now practically forgotten (the pan-and scan videocassette - which never did justice to the picture or it's ambitious Panavision compositions is now out-of -print.) The film is very stylized (shades of YELLOW SUBMARINE) and admittedly uneven. Some of the characters and sequences are exquisite while others are somewhat juvenile and undistinguished. The sad discarded blue camel (shades of Eeyore) and his blue song are truly heartwarming. Joe Raposo's songs are for the most part simply beautiful. Definitely a worthwhile curiousity that will probably (sadly) fall into total obscurity.",positive
"I never really watched this program before although it came highly recommended by members of my family. Funnily enough, my girlfriend lives in Hadfield (the filming location) and she pointed out a few landmarks when I first visited.This got my interest going so I bought the 1st series on video and sat down to watch. Besides recognising some of the locations, I found myself not in the least bit surprised. Once again the BBC were responsible for producing another example of the finest comedy in the world. TLOG easily ranks up there with Red Dwarf, Fawlty Towers and Monty Python as probably the best.Suffice to say I am hooked on the program now. The characters are superb and show unusual depth while retaining a scarily realistic edge. The look and feel of the program is perfect and reflects the sometimes bleak feeling of the North (no disrespect to Hadfield which I have found a very welcoming and warm place).I only hope that it continues its originality throughout its run (which based upon the 2nd series which concluded its rerun in the UK last night, it certainly is).Well done the BBC!!",positive
"I have seen many, many productions of The Nutcracker. Now perhaps I viewed this movie from the tainted point of view of a theatrical director, but I was disappointed. I'm sure people in the specific business of ballet choreography find this production impressive but from a purely theatrical perspective I found everything from design to choreography to be lackluster and unbefitting of a ""motion picture"". None of the traditionally ""weird"" and impressive costumes looked like what they were supposed to be (i.e. the candies didn't look like candies, the rats didn't look like rats but rather like chocolate kisses,) the acting was weak, perhaps toned down too much for the screen, and the choreography just didn't do anything for me. This makes the entire show very satisfactory (at best), as if it were intended to not set itself apart from any other production. But remember, again, this is from the artistic perspective of a theatrical director, not a dancer or a choreographer, but a straight male theatrical director.",negative
"Charlie Wilson (Tom Hanks) is a hard-partying, womanizing Texas Congressman with no discernible legislative record. In 1980, he finds himself becoming interested in the plight of Afghanistan, which is in the midst of a brutal war with the USSR. On the auspices of his old flame, arch-conservative Texas socialite Joanne Herring (Julia Roberts), he travels to Afghanistan to assess the situation, and is stunned by what he sees. He returns to the US determined to help the Afghans, only to find his colleagues extremely indifferent to the situation - and himself under investigation for allegations of drug use. Undeterred, Wilson recruits Herring and the vulgar, outcast CIA Agent Gust Avrakotos (Phillip Seymour Hoffman) to begin a convoluted arms deal involving Israel, Egypt, Pakistan, Saudi Arabia, and a mostly unknowing US Congress. Ultimately, the Afghans defeat the Soviets, but while America celebrates their victory, Wilson and Avrakotos find their warnings about the instability of post-war Afghanistan falling on deaf ears.Charlie Wilson's War is slick brain candy, a really neat film for the more intellectual viewer and fun entertainment for the average film-goer. The movie assembles an astonishing array of talent, both in front of and behind the camera, and delivers on its promise of being one hell of a good time. The film's has only one flaw, which we'll arrive at later. As an examination of the improbable way in which the 20th Century's largest covert war was waged - and, perhaps, the way that things get done by the CIA and other intelligence agencies - it's fascinating.The movie is interesting on a number of levels. The story portrayed in the movie - with all of its outrageous double-dealings, sneaky covert operations, and, perhaps most of all, its success - would be so outrageous as a work of fiction, that it could easily be dismissed as a satire. But things really did work out this way, at least within reasonable bounds. The film portrays our three protagonists in an interesting way that highlights their virtues without obscuring their flaws. Wilson as a person who is unapologetic about his vices (even embracing them) - yet willing to embrace a righteous cause. Herring is something of an elitist, and her born-again attitude of righteousness is off-putting - yet she's deeply committed to the cause of the Afghan people. Avrakotos is a CIA outsider with an attitude problem, looked down upon because of his ""street"" background - yet his love of country and hatred of Communism are unwavering. The fact that this odd trio could play a major role in the downfall of the USSR is not only proof that anyone can make a difference, but also that truth is stranger than fiction. It's also very interesting that all of this is played as a comedy - not too surprising, given that our writer is Aaron Sorkin, but it's an interesting way to approach this story.The movie does, however, have one drawback, which is a bit surprising. The film seems to unabashedly celebrate Wilson and Co.'s achievement. This is fine - nothing wrong with defeating the Soviet Union, is there? - until one considers that out of the ashes of the Soviet defeat in Afghanistan came the Taliban and eventually al-Qaeda. Regardless of the US's level of responsibility, it happened, and the movie's portrayal of Wilson's success is almost unmitigated. To be fair, the movie does address this issue towards the end, with a rather topical speech by Wilson about the US's inability to clean up after themselves, but it's done in such a tertiary manner that the average viewer will probably not take much from it. The overall impression will be that these three remarkable people helped the Afghans defeat the Soviets. This isn't a fatal drawback, mind you, but it's one troubling aspect of an otherwise brilliant movie. The film's talent is remarkable. The legendary Mike Nichols delivers a slick, gorgeous-looking production; the material is perfectly suited to his understated, wry directorial style. Sorkin delivers yet another brilliant screenplay; the film has dozens of quotable lines and classic Sorkin exchanges (the best being the ""Scotch bottle"" discussion between Wilson and Avrakotos), and keeps something of a political and historical perspective behind it. The film's cast is a marvel: Tom Hanks gives a fine performance as the lovable rogue with a cause, Julia Roberts is alternately charming and repulsive as the obnoxious but committed Joanne, and Phillip Seymour Hoffman steals every scene (par usual) as the abrasive Gus. The always-lovely Amy Adams takes another step on her road to stardom as Wilson's long suffering assistant, and Ned Beatty, Om Puri, Emily Blunt, Christopher Denham, and Ken Stott flesh out the supporting cast.Charlie Wilson's War is an intelligent and fun movie, a wonderful bit of a-bit-more-than-light entertainment. The fact that it decides not to be more than that shouldn't be held against it; it's brilliant at what it does.8/10",positive
"I truly enjoyed this film. It's rare to find a star who can pull off the physical aspects of any sports/dance themed film convincingly and do a first rate acting job as well. In this film you find two stars who rise to the occasion. Both women deliver warm, touching and at times humorous performances. The film also touched on a number of topics, from racial issues to sexual identity. And yet the approach wasn't heavy handed. The production values were also top notch for a small budget film. I saw this at the Philadelphia Gay & Lesbian film festival and went back to see it a second time. It was a real crowd pleaser. Everyone I spoke to seemed to enjoy this film.",positive
"Like other people who commented on ""FrÃ¤ulein Doktor"" I stumbled by chance upon this little gem on late-night TV without having heard of it before. The strange mixture of a pulp fiction story about a sexy but unscrupulous anti-heroine on the one hand and a realistic and well-researched portrayal of war in the trenches on the other hand had me hooked from the beginning.To me this is one of the five best movies about WWI (the others are ""All Quiet On The Western Front"", ""Paths Of Glory"", ""Gallipoli"" and the post-war ""La vie et rien d'autre""). And the scene with the poison gas attack is really chilling; the horses and men appear like riders of the apocalypse with their gas masks.I only wish I had taped the film.",positive
"Most of the critiques on this flick have been pretty damn accurate. It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life. There is about twenty minutes of magic, and absolutely no scary or thrilling moments. Our actress are treated like pieces of ass, and seem to be perfectly happy with their position. The lead characters, these sons of ipsmith are walking poster boys for any pop culture clothing store. You can't relate with them, hell you barely can understand them. The story steps all over itself and when it finally gets to the final battle, its no more than a volleyball match that doesn't last long enough to make up with this trashed script raped from the O.C.",negative
"This movie is silly and very short of being a funny movie. Unhappy 'easterners' are not pleased with being out west; so they hire a drunk wagon master(John Candy)to lead them back east. Sight gags were just not funny enough to carry this one. And Richard Lewis gets on your nerves very quickly; but then I honestly don't like him at anything he does. Ed Lauter is hilarious as the bumbling villain.The movie was dedicated to Candy. He died from a massive heart attack ten days before the movie was completed. A stand in and digital enhancement enabled Candy's character to be seen in the final scenes. Candy was a very good comedian and gave us some real good knee slapping, belly laughs in his career. This movie was just not the caliber of his best.Also in the film, you will recognize: William Sanderson, Gailard Sartain, Ethan Phillips, Ellen Greene and Rodney A. Grant.",negative
"After seeing only half of the film in school back in November, today, I saw that it was on Flix channel and decided to watch it to see the rest of it and to write a new review on it.The book that the film is based on, Hatchet, is OK. This is a terrible adaption of it though.Awful (and I mean awful) acting, bad dialogue, and average cinematography make up this terrible adaption of Hatchet.The film starts off Brian who is the clichÃ© image of a late 80s teen (sporting a mullet, banging his head to cheap 80s rock music) and his mother driving in a car for him to get on a plane to fly up to see his estranged Dad (his parents are divorced...now cue the dramatic pause.) Now Brian has said goodbye to Mom and dog and is flying up to see his father. The pilot is a fat, ugly, rude man (wasn't like that in the book) who after 2 minutes in the air, has a heart attack and dies. In the book it goes into more detail with the pilot having more pains and it seemed to be that they were in the air much longer before the pilot had his heart attack.The plane (within another two minutes) has gone empty on fuel (leaving us, the viewers, to assume that he's been up there for hours even though the sun hasn't changed position and the scenery looks EXACTLY the same.) Now's he's crashed landed.This is the point in the movie where everything is a lot different then it was in the book. In the book it said his jacket was torn to shreds but in the movie it is perfectly fine with no tears or rips (looks like he just bought it), it never said he climbed a mountain, saw a wolf, and fell asleep up there on the mountain, it never said he was attacked by a bear (it said a moose but not a bear), it never said he eats the several bugs that he does, it never mentions the second tornado or that he learned to get those sparrows, skin them, and eat them or that little fish farm trap that he makes (that is destroyed by one of the tornadoes) nor does it mention him hurting his ribs from one of the tornadoes.I don't even think you can call what was depicted in the film a tornado. All it was was just a windstorm that knocked down several of his things.My favorite part of this camp fest was Brian's lame flashbacks (that are never mentioned in the book) especially the clichÃ© scene of Brian waking up, walking over to the window and seeing his Dad (with all of his things packed that can all perfectly fit into just the back of his truck) leaving and screams ""DAAAAAAAAAAAAAAAAADDDDDDDDD!!!!"" (yet of course his father didn't hear him even though he was just right outside) and he punches his fist through the window (wtf?) The ending is the only thing that is close to what happened in the book (I said close.) In the book I think one of the key things that the rescue pilot said to Brian when he landed was ""you're the kid who they've been looking for! They stopped months ago..."" yet they left that line out in the movie.There's a pathetic epilogue with Brian (somehow without counseling or therapy) getting back to normal with his family. I think we were supposed to assume that they were getting together for Thanksgiving (because they had a turkey on the counter.) Then it shows his temporary home (for what, in the movie, seemed like three days, but in the book was for several months) and his hatchet, still in a tree where he left it (also didn't happen in the book) showing where he carved a message, so perfectly done: ""HOME"" (where we really supposed to believe that he carved that that perfectly with just that hatchet?) No quote can sum this movie up better then when Enid from Ghost World said ""this is so bad it's gone past good and back to bad again."" Perfect description of this movie.I wouldn't recommend it to somebody (who hasn't read the book) and are just looking to watch a movie nor would I to somebody who has read the book (because they'll be disappointed and bored to death.For those who have read the book, leave what your imagination created as the movie. This is awful and will bring down your thoughts on the book.1/10",negative
"Prior to watching ""Dahmer,"" I thought no movie could be worse than ""Freddy Got Fingered."" I was wrong. To sum ""Dahmer"" up, it's a story about a gay serial killer which features almost no killing and almost entirely consists of Dahmer's encounters with gay men before they were killed. There is no plot to be found, and it serves no purpose as far as telling us anything about ""Dahmer."" All you'll learn about Dahmer from watching this movie is that he liked to have sex with men. Horrible acting, horrible directing, horrible writing, horrible everything... If you have to choose between watching ""Dahmer"" and projectile vomiting for three hours, go with the vomiting .... it wll be less painful.....",negative
